reputation,Id,displayname,location
1,8437670,dishant,melbourne
30,8437851,Aseem Malhotra,"Melbourne, Victoria, Australia"
490,23355,Jiminy,"Melbourne, Australia"
30470,23744,camh,"Melbourne, Victoria, Australia"
17527,23963,Nigel Thorne,"Melbourne, Australia"
21,23974,aNDo,"Melbourne, Australia"
1350,24406,misteraidan,"Melbourne, Australia"
3771,24508,Chris Huang-Leaver,"Melbourne, Victoria, Australia"
117,31861,richard.albury,"Melbourne, FL, United States"
3721,32241,Antony,"Melbourne, Australia"
918,32941,Restless Wanderer,"Melbourne, Australia"
28691,32943,Darko Z,"Melbourne, Australia"
1,10327970,C.Zhang,"Melbourne VIC, Australia"
1,10328086,Jenifer Roopika,Melbourne
25,4683006,rhysnhall,"Melbourne, Victoria, Australia"
114,2595374,McSwaggens,Melbourne Australia
1,8442342,David Ajetomobi,"Melbourne, Victoria, Australia"
1,8442407,huma_dev,"Melbourne VIC, Australia"
6,8442563,Max Mallan,"Melbourne, Victoria, Australia"
1,8442596,Yin Ning,"Melbourne, Victoria, Australia"
1,8445491,Kamran Memon,"Melbourne, Victoria, Australia"
11,2599051,nickksun,"Melbourne, Australia"
61,6514065,lisp-ceo,"Melbourne Victoria, Australia"
1,10333180,Khing,"Melbourne VIC, Australia"
1,10333407,Sunil,"Melbourne VIC, Australia"
1,2601384,codoic,"Melbourne, Australia"
1,4690726,Asif Norzai,"Melbourne, Victoria, Australia"
1,8453355,Wei,"Melbourne, Victoria, Australia"
1,8453560,Stine Lynge Mathisen,"Melbourne, Victoria, Australien"
1437,65903,Luke Chadwick,"Melbourne, Australia"
3720,66075,Luke,"Melbourne, Australia"
18534,66617,Tobias Cohen,"Melbourne, Australia"
1436,66731,Louis Sayers,"Melbourne, Victoria, Australia"
1639,66753,verveguy,"Melbourne, Victoria, Australia"
256,66982,ouster,Melbourne
11,2603662,Lumus,"Melbourne, Australia"
1,2608721,dan.libbesson,"Melbourne VIC, Australia"
53,2608810,Matt,"Melbourne, Victoria, Australia"
141,76833,Gerardo Curiel,"Melbourne, Victoria, Australia"
251,4664006,Sorabh Mendiratta,"Melbourne VIC, Australia"
1,8423042,Decheng Ma,"Melbourne, Victoria, Australia"
1192,6491619,Wayne Allen,"Melbourne, Victoria, Australia"
6,6491735,Ryan of Tinellb,"Melbourne VIC, Australia"
445,2092,bootload,"Melbourne, Australia"
4019,2231,brodie,"Melbourne, Australia"
1040,2245,vikramjb,"Melbourne, Australia"
21912,2246,Andrew Walker,"Melbourne, Australia"
1738,2387,titanae,"Melbourne, Australia"
5603,2754,Mike Thompson,"Melbourne, Victoria Australia"
1,8427764,Paul,Melbourne
5805,6600,Brownie,"Melbourne, Victoria, Australia"
334,6740,Anarchofascist,"Melbourne, Australia"
2807,6995,Krishna,"Melbourne, Australia"
1417,7966,Sarhanis,"Melbourne, Australia"
1,8434680,Thomas.o.lodge,"Melbourne, Victoria, Australia"
1,10321618,RaptorKing,"Melbourne, FL, USA"
2665,25361,mickyjtwin,"Melbourne, Australia"
2959,25443,Alexey Shcherbak,"Melbourne, Australia"
628,26000,Froosh,"Melbourne, Victoria, Australia"
10027,26310,Mark,"Melbourne, Australia"
1,10324491,darcyyy,"Melbourne VIC, Australia"
3929,26335,CodeAndCats,"Melbourne, Victoria, Australia"
23573,27294,Craig,"Melbourne, Australia"
1,8443238,GumB,"Melbourne, Victoria, Australia"
1,8443409,Rasha Elkheshien,"Melbourne VIC, Australia"
1,8443473,Dave Strachan,"Melbourne VIC, Australia"
1,10328794,Sophia Jones,"Melbourne VIC, Australia"
1,10329058,Daniel Zhong,"Melbourne VIC, Australia"
1,8443725,Argel,"Melbourne VIC, Australia"
1,8443760,Leonardo Martins,"Melbourne, Victoria, Australia"
1,10332721,mirza abbas,"Melbourne VIC, Australia"
4986,56690,Bo Jeanes,"Melbourne, Victoria, Australia"
759,56924,tomeedee,"Melbourne, Australia"
3302,56940,Rosstified,"Melbourne, Australia"
916,57218,Guilherme,"Melbourne VIC, Australia"
1366,57369,Gabriel,"Melbourne, Australia"
895,58136,Aaron Moodie,"Melbourne, Australia"
433,2605327,Ucinorn,"Melbourne, Victoria, Australia"
1,2605426,Terry Mitchell,"Melbourne, Australia"
61,2605567,microbee,"Melbourne, Victoria, Australia"
99,2605725,Bradley Smith,"Melbourne, Australia"
251,2606743,FatemehNB,"Melbourne VIC, Australia"
425,2606793,rchascin83,"Melbourne, FL, United States"
1740,71159,Richard Nichols,"Melbourne, Australia"
472,72635,Parthan,"Melbourne, Victoria, Australia"
1527,73027,codemonkeh,"Melbourne, Australia"
975,82663,Phantomwhale,Melbourne
559,83473,Lea,"Melbourne, Victoria, Australia"
25126,84916,burntsugar,"Melbourne, Australia"
78,85000,Ben MacLeod,"Melbourne, Australia"
1,8459832,Thought master,"Melbourne, Victoria, Australia"
1,6521427,Sahil Khanna,"Melbourne, Victoria, Australia"
865,104099,andreabedini,"Melbourne, Australia"
6572,104361,doctororange,"Melbourne, Australia"
10149,104551,David Wong,"Melbourne, Australia"
2420,105326,lins314159,"Melbourne, Australia"
431,105952,LucasS,"Melbourne, Australia"
1,4707144,redbacks6,"Melbourne, Victoria, Australia"
1,8470790,avishek pal,"Melbourne, Victoria, Australia"
1,10351095,Blanca Wang,"Melbourne VIC, Australia"
1,10351199,Irvin,"Melbourne VIC, Australia"
49,118976,Langerz,"Melbourne, Australia"
100,131484,SteveP,"Melbourne, Australia"
628,133975,Ryan,"Melbourne, Victoria, Australia"
94,134056,dgoyani,"Melbourne, Australia"
1,8475212,Puff,"Melbourne, Victoria, Australia"
10,8475385,Mishan L,"Melbourne, Victoria, Australia"
1,8475616,Mengyu Gong,"Melbourne, Victoria, Australia"
11,8475982,Itachi Yang,"Melbourne, Victoria, Australia"
1,10355866,howurs,"Melbourne VIC, Australia"
1,10355873,Wai Tang,"Melbourne VIC, Australia"
1,10355896,ramlal,"Melbourne VIC, Australia"
1,10356153,Abhinav Goel,"Melbourne VIC, Australia"
1,10356177,University Project,"Melbourne VIC, Australia"
6,10356349,Raghav Arora,"Melbourne VIC, Australia"
1,10356413,Frank Bao,"Melbourne VIC, Australia"
7,10356536,Zankhit Patel,"Melbourne VIC, Australia"
1496,149166,mlevit,"Melbourne, Australia"
1,8421441,m13,"Melbourne, Victoria, Australia"
1,8421830,Sebastian Felice,"Melbourne, Florida, United States"
1,6493818,restlessera,"Melbourne, Victoria, Australia"
576,5503,Assembler,"Melbourne, Australia"
3032,5506,Leah,"Melbourne, Australia"
1184,5758,Diego Barros,"Melbourne, Australia"
661,6015,frglps,"Melbourne, Australia"
3122,6042,Scott,"Melbourne, Australia"
18008,6276,Phil Wright,"Melbourne, Australia"
14551,6277,Evan,"Melbourne, Australia"
33473,13198,TheVillageIdiot,"Melbourne, Australia"
19317,14131,Pavel Chuchuva,"Melbourne, Australia"
31309,14160,madlep,"Melbourne, Australia"
1,8431851,Mark R,"Melbourne, Victoria, Australia"
1749,8432239,bh4r4th,"Melbourne, Victoria, Australia"
1,2585749,cosier,"Melbourne, Australia"
864,24702,louism,"Melbourne, Australia"
202318,24874,Drew Noakes,"Melbourne VIC, Australia"
3,10323943,Ahmed Syed,"Melbourne VIC, Australia"
1,2589850,OCDbrony,"Melbourne, Australia"
1,2590058,Bel_D,"Melbourne, Australia"
66,2590468,Teeks,"Melbourne, Australia"
73,2590628,BSrinivas,"Melbourne, Australia"
11,40798,Graeme,"Melbourne, Australia"
1,6507963,Johnnyweb,"Melbourne, Victoria, Australia"
11,10328230,Roman,"Melbourne VIC, Australia"
1,10328244,David Murray,"Melbourne VIC, Australia"
16,10328263,Abhay Dwarakanath Rao,"Melbourne VIC, Australia"
1,10328289,rossursino,"Melbourne VIC, Australia"
1,10328354,bmouritz,"Melbourne VIC, Australia"
1,10328697,fizzer,"Melbourne VIC, Australia"
852,41232,Jim McLeod,"Melbourne, Australia"
138,41757,smarthall,"Melbourne, Australia"
22097,42303,hhafez,"Melbourne, Australia"
9254,42690,squelart,"Melbourne, Australia"
118,43116,Danny,"Melbourne, Australia"
6,4688148,Naser S,"Melbourne, Victoria, Australia"
14806,54500,pat,"Wurundjeri land / Melbourne, Australia"
7053,54501,gkrogers,"Melbourne, Australia"
13,8449138,Ronni Mallouk,"Melbourne, Victoria, Australia"
2051,68119,parxier,"Melbourne, Australia"
144,68168,Mathew,"Melbourne, Australia"
2791,68268,Khanzor,"Melbourne, Australia"
1025,68691,oldbeamer,"Melbourne, Australia"
68,68735,Stewart,"Melbourne, Australia"
4522,69051,01es,"Melbourne, Victoria, Australia"
706,69205,Ajw,"Melbourne, Australia"
636,69518,Bingy,"Melbourne, Australia"
504,69685,Gian Paolo,"Melbourne, Australia"
2886,69704,Matthew,"Melbourne, Australia"
22428,69803,Ankur,"Melbourne, Australia"
1,10337646,Adithya Ravi,"Melbourne VIC, Australia"
1,10337805,Ian Long,Melbourne
659,86030,Marklar,"Melbourne, Victoria, Australia"
19443,86046,Nick Forge,"Melbourne, Australia"
63,87866,Rob Ryan,"Melbourne, Australia"
3683,87912,Flatliner DOA,"Melbourne, Australia"
91,8460279,JamesR,"Melbourne, Victoria, Australia"
15547,100652,Aran Mulholland,"Melbourne, Victoria, Australia"
1548,101260,Andrew Matthews,"Melbourne, Australia"
98,101292,Stinomus,"Melbourne, Australia"
1652,103267,teki,"Melbourne, Australia"
16,6526826,RJM,Melbourne
986,119547,Andrew Patterson,"Melbourne, Australia"
2635,120204,toholio,"Melbourne, Australia"
15731,120243,Alastair Pitts,"Melbourne, Australia"
559,120321,teapot7,"Melbourne, Australia"
1605,120371,Alec the Geek,"Melbourne, Australia"
17703,120410,David Johnstone,"Melbourne, Victoria, Australia"
1035,120606,davur,"Melbourne, Australia"
9,8471163,Joey Don,"Melbourne, Victoria, Australia"
1,8471641,Hoze,"Melbourne, Victoria, Australia"
1,4718718,Sophie,Melbourne
61,4718803,Matthew Hall,"Melbourne, FL, USA"
1,10356862,Dickson Lukose,"Melbourne VIC, Australia"
1,10356864,aravind,"Melbourne VIC, Australia"
521,137158,cas,"Melbourne, Victoria, Australia"
1566,137730,Nico Adams,"Melbourne, Australia"
399,137790,Karl Glaser,"Melbourne, Australia"
61,139187,James Sofra,"Melbourne, Australia"
176,139201,JohnU,"Melbourne VIC, Australia"
483,139388,David Russell,"Melbourne, Australia"
4,8481679,Joshua J Geoghegan,"Melbourne, Victoria, Australia"
9,8458136,Ryan Evans,"Melbourne, Victoria, Australia"
1,8458167,Abhas Chandra,"Melbourne, Victoria, Australia"
1,8458610,Jay Joshi,"Melbourne, Victoria, Australia"
1,10340533,Rey,"Melbourne VIC, Australia"
21,10340637,Robert,"Melbourne VIC, Australia"
1,10341023,Adhi,"Melbourne VIC, Australia"
1,6521027,Adrian Birch,"Melbourne VIC, Australia"
1,4699554,Anthony Owen,Melbourne ビクトリア オーストラリア
1,10344262,Will0,"Melbourne VIC, Australia"
231,92994,antscode,"Melbourne, Australia"
489,94075,Michael,"Melbourne, Australia"
2963,94152,Lachlan,"Melbourne, Victoria, Australia"
5224,94155,Gary,"Melbourne, Australia"
1484,94669,David,"Melbourne, Australia"
844,2614252,Darkcylde,"Melbourne, Australia"
1,10346340,Beam Saber,"Melbourne VIC, Australia"
1,10346836,Vaninder Singh Arora,"Melbourne VIC, Australia"
8,8465211,Fallin,"Melbourne, Victoria, Australia"
11,8465240,Keiran Hines,"Melbourne, Victoria, Australia"
21,8465552,ARahman,"Melbourne, Victoria, Australia"
763,110834,CaptainCasey,"Melbourne, Australia"
152,111374,Freddy,"Melbourne, Australia"
13642,111479,tonyf,"Victoria, Melbourne, Australia"
3,2620858,dagra,"Melbourne, Australia"
1,2621085,lyho,Melbourne
31,2621386,Tman,"Melbourne, Australia"
75,2621738,G.Jan,"Melbourne VIC, Australia"
1,10350618,Arun,"Melbourne VIC, Australia"
1,10350851,Tanuj,"Melbourne VIC, Australia"
468,116271,Alan Wolman,"Melbourne, Australia"
2122,117007,Lars Yencken,"Melbourne, Australia"
2548,117062,Luke Baulch,"Melbourne, Australia"
10786,117104,nfm,"Melbourne, Australia"
130,117291,Kevin,"Melbourne, Australia"
1932,117531,bobbyalex,"Melbourne, Australia"
1,8470229,Aziz Hayat,"Melbourne, Victoria, Australia"
753,125481,Joseph Paterson,"Melbourne, Australia"
18,10353671,Nishit Joseph,"Melbourne VIC, Australia"
1,10353738,Pearl MilkTea,"Melbourne VIC, Australia"
1,10354063,Tsubagi Yoshino,"Melbourne VIC, Australia"
822,126859,maneesh,"Melbourne VIC, Australia"
10522,127255,James Healy,"Melbourne, Australia"
1,6536404,Shaun Preston,"Melbourne, Victoria, Australia"
101,6536851,jamesgarrett,"Melbourne, Victoria, Australia"
13,2628926,Allen Qin,"Melbourne, Australia"
229,2629197,Jordan Glue,"Melbourne VIC, Australia"
519,134642,John Hardy,"Melbourne, Victoria, Australia"
4637,134653,Adam Marshall,"Melbourne, Australia"
1741,134700,Chris Melinn,"Melbourne, Australia"
108,135324,Brontojoris,"Melbourne, Australia"
122,135417,jford,"Melbourne, Australia"
1833,136079,Billious,"Melbourne, Australia"
11,136633,tkenington,"Melbourne, Australia"
5910,136945,heads5150,"Melbourne, Australia"
1,8476152,munish sharma,"Melbourne, Victoria, Australia"
608,144139,Andrew Cain,"Melbourne, Australia"
22023,144157,Rob Hyndman,"Melbourne, Australia"
4271,145621,Foole,"Melbourne, Victoria, Australia"
56,2636664,user2636664,"Melbourne, Australia"
1,2636942,Lee Harvey,"Melbourne, Victoria, Australia"
1,10361882,汪洲洋,"Melbourne VIC, Australia"
1,10362448,Xiaoji,"Melbourne VIC, Australia"
1,8483087,Hoho Jiang,"Melbourne, Victoria, Australia"
1,6542754,Herbert Firerump,"Melbourne, Victoria, Australia"
48932,154152,Noon Silk,"Melbourne, Australia"
46,154783,Nina Meiers,"Melbourne, Australia"
1,8486275,Leonito Barros,"Flinders Street, Melbourne, Victoria, Australia"
17,8486633,B.JOE,"Melbourne, Victoria, Australia"
1,8486765,Sukhjeet Mander,"Melbourne, Victoria, Australia"
1,8487755,ada,"Melbourne, Victoria, Australia"
31,8487901,Sysad85,"Melbourne VIC, Australia"
1,8488277,biozero7 biozero7,"Melbourne, Victoria, Australia"
1,6546606,CandleLitCodes,"Melbourne, Victoria, Australia"
158,4728122,Ben Bozorg,"Melbourne, Australia"
1,10367251,Andrew,"Melbourne VIC, Australia"
4,6549697,C Li,"Melbourne, Victoria, Australia"
1,6549830,AutumnLeaves,"Melbourne, Victoria, Australia"
1,10369668,Vanessa,Melbourne
11,10370064,Feng Zhao,Melbourne 維多利亞省澳大利亚
133,76951,Kevin Yank,"Melbourne, Australia"
539,76954,JTango18,Melbourne
1003,77113,joeldixon66,"Melbourne, Australia"
1749,77533,nedned,"Melbourne, Victoria, Australia"
185,78205,LukeR,"Melbourne, Australia"
465,78453,jasonb,"Melbourne, Australia"
5998,78474,Chris Miles,"Melbourne, Australia"
1056,78578,dimoss,"Melbourne, Australia"
1092,78878,Aries McRae,"Melbourne, Australia"
118,79288,Joel Lignier,"Melbourne, Australia"
8702,79294,Erich Mirabal,"Melbourne, FL"
1,10339841,ttjahjadi,Melbourne
1,10339887,Mithu Paul Jose,"Melbourne VIC, Australia"
1,10339958,Harvey Nguyen,"Melbourne VIC, Australia"
1,10340296,Jayden Ferris,"Melbourne VIC, Australia"
1,10342241,Simon Chen,"Melbourne VIC, Australia"
1,10342327,DANNY RAO,"Melbourne VIC, Australia"
309,4701537,David,"Melbourne, Victoria, Australia"
11,4701693,irene salomo,"Melbourne, Victoria, Australia"
1,10344543,Javid,Melbourne
1,10344905,Rishi Dawar,"Melbourne VIC, Australia"
1,4704200,Teradata-Oracle starter,"Melbourne, Australia"
559,96326,victrnava,"Melbourne, Australia"
1001,96379,Joshscorp,"Melbourne, Australia"
2171,96389,setzamora,"Melbourne, Victoria, Australia"
664,97667,SimonF,"Melbourne, AU"
141,6525083,Rman,"Melbourne VIC, Australia"
1,2618852,Mike D,"West Melbourne, FL"
1,8467214,JakoCrix,"Melbourne, Victoria, Australia"
11,8469706,EMP,"Melbourne, Victoria, Australia"
1,8469710,Simi Aitchison,"Melbourne, Victoria, Australia"
1,8469769,Jeff,"Melbourne VIC, Australia"
1,8469978,IshtNav,"Melbourne, Victoria, Australia"
1,8470085,saranya gopi,"Melbourne, Victoria, Australia"
566,114149,alirobe,"Melbourne, Australia"
3552,115704,Jason Snelders,"Melbourne, Australia"
1,6530935,Rashmita,"Melbourne, Victoria, Australia"
16,121819,SimonB,"Melbourne, Australia"
2257,121936,thomas.han,"Melbourne, Australia"
2490,122398,lb.,"Melbourne, Australia"
494,123986,David Gray Wright,"Melbourne, Australia"
1,8472530,evilpanda,"Melbourne, Victoria, Australia"
1,8472687,Hemanth B,"Melbourne VIC, Australia"
1,8474450,Andrej Prskalo,"Melbourne, Victoria, Australia"
947,2627211,Mahdi Shahbazi,"Melbourne VIC, Australia"
465,2628689,Michael Lemaire,"Melbourne, Australia"
