reputation,Id,displayname,location
402,866759,Ozone,"Melbourne, Australia"
288,866786,Sid,"Melbourne, Australia"
191,868574,LokMac,"Melbourne, Australia"
1094,868622,NGaffney,"Melbourne, Australia"
141,868685,Maxcelcat,"Melbourne, Australia"
13,8897089,Abhinav Gajurel,"Melbourne VIC, Australia"
1,3048857,ram,"Melbourne, Australia"
135,3048859,user3048859,"Melbourne VIC, Australia"
2215,872018,marissajmc,"Melbourne, Australia"
11,872063,Mark Cipolla,"Melbourne, Australia"
311,872213,mpowrie,"Melbourne, Victoria, Australia"
16,3054194,JavaDev_007,"Melbourne, Australia"
1,8905418,Yitong Chen,"Melbourne, Victoria, Australia"
1,10774206,Garry P,"Melbourne VIC, Australia"
1,6936385,RSQUARED2,"Melbourne, Victoria, Australia"
40,889044,Tony Rietwyk,"Melbourne, Australia"
353,3059578,cometfish,"Melbourne, Australia"
1,6941105,Mercury DJ Hire,"Melbourne, Victoria, Australia"
1,8916480,Kingrock,"Melbourne, Victoria, Australia"
1,6942994,user6942994,"Melbourne VIC, Australia"
1,5184704,FordHenry2308,"Melbourne, Australia"
323,896671,Ardenexal,"Melbourne, Australia"
157,896836,gazal,"Melbourne VIC, Australia"
1,5187483,Dean Pribetic,"Melbourne, Australia"
5,6945556,Asif Pathan,"Melbourne VIC, Australia"
1,10784179,jk10,"Melbourne VIC, Australia"
646,904062,Josh,"Melbourne, Australia"
1,904541,Geoff,"Melbourne, Australia"
13,3068220,GreenBetweenTheBraces,"Melbourne, FL"
50,859151,Rhett,"Melbourne VIC, Australia"
13,859371,john.byrne,"Melbourne, Australia"
1,8890936,quinxyboy,"Melbourne VIC, Australia"
31,5159002,daviddiviny,"Melbourne VIC, Australia"
142,5159429,Alaister Young,"Melbourne, Slow Internet Land"
3434,5159431,Ash,"Melbourne, Victoria, Australia"
1,6924731,Michelle Jia,"Melbourne, Victoria, Australia"
186,5160151,Geetha,"Melbourne, Australia"
1,5160314,Kimply,"Melbourne, Australia"
1,10762863,james russell,"Melbourne VIC, Australia"
1,10766637,Drew Nuttall-Smith,"Melbourne VIC, Australia"
1,5163934,Danu,"Melbourne, Australia"
1,10768447,Myo Naung,"Melbourne VIC, Australia"
1,6929230,Joseph Mathew,"Melbourne, Victoria, Australia"
265,6929323,snoopy,"Melbourne, Victoria, Australia"
1,3052992,Bradley Ford,"Melbourne, Victoria, Australia"
313,3053405,Zooby,"Melbourne, Australia"
1,8904079,Victor Orlov,"Melbourne, Victoria, Australia"
1239,880807,PKCLsoft,"Melbourne, Australia"
1,881314,Jason Doyle,"Melbourne, FL, USA"
743,881882,Damon Swayn,"Melbourne, Australia"
155,5172135,autistOfSpot,"Melbourne, Victoria, Australia"
1,8906166,Jack_Ho,"Melbourne, Victoria, Australia"
11,885791,user885791,"Melbourne, Victoria, Australia"
1164,887032,daamsie,"Melbourne, Australia"
1,8909912,jens,"Melbourne, Victoria, Australia"
1,8910072,Edward Re,"Melbourne, Victoria, Australia"
1,8910365,David Johnson,"Melbourne, Victoria, Australia"
6,8911709,christiancc,"Melbourne, FL, United States"
1,10778164,Edina,"Melbourne VIC, Australia"
2528,894358,david004,"Melbourne, Australia"
311,894359,Hamish Willee,"Melbourne, Australia"
624,894361,Tom McKenzie,"Melbourne, Australia"
11,896089,nath77,"Melbourne, Australia"
64,897700,Bassem,"Melbourne, Australia"
31,897714,fabrianibrahim,"Melbourne, Victoria, Australia"
694,897807,David Gallagher,"Melbourne, Australia"
1,897917,Jason Smith,"Melbourne, Australia"
5492,897994,RJ Lohan,"Melbourne, Australia"
3222,898378,hook38,"Melbourne, Australia"
1,8917365,Nicholas,"Melbourne VIC, Australia"
26,8917467,Kman,"Melbourne, Victoria, Australia, Australia"
62,6943356,Paul Clarke,"Melbourne, Victoria, Australia"
618,3064442,MrTweek,"Melbourne, Australia"
1,5185190,Valyrio,"Melbourne, Australia"
281,6946787,Alexis Lucattini,Melbourne
1,6947445,Henry Nguyen,"Melbourne, Victoria, Australia"
1,5191918,KhangCao,"Melbourne, Victoria, Australia"
1,8923212,Warren Bransgrove,"Melbourne, Victoria, Australia"
1,3072795,jesmeister,"Melbourne, Australia"
1,3072908,Alizkat,"Melbourne, Victoria, Australia"
1,3072930,Jay Chauhan,"Melbourne, Australia"
1,3072978,Harry,"Melbourne, Victoria, Australia"
1,3073214,user3073214,"Melbourne, Victoria, Australia"
393,3073378,SajithP,"Melbourne, Victoria, Australia"
416,3073383,Graeme Gill,Melbourne Australia
16,3073506,danwissa,"Melbourne, Australia"
1,10790576,zinc,"Melbourne VIC, Australia"
1,8927023,Allan Noble,"Melbourne, Victoria, Australia"
1224,913272,Louie Bao,"Melbourne, Australia"
158,915021,Tobe_Sta,Melbourne
1,10796488,Josh Fenton,"Melbourne VIC, Australia"
37,3081243,Karthik,"Melbourne, Australia"
23,3081375,Stranger Design,"Melbourne, Australia"
51,5207188,Live Seven,"Melbourne, Australia"
1,5207247,MING MA,"Melbourne VIC, Australia"
13,7004070,David Peterson,"Melbourne, Victoria, Australia"
1,7004275,Boson Huang,"Melbourne, Australia"
1,7004293,Mark,"Melbourne, Victoria, Australia"
1,7004477,jay,"Melbourne, Victoria, Australia"
1,8937780,ninox boobook,"Melbourne, Victoria, Australia"
26,3084672,Winsome King,"Melbourne, Australia"
3,5213172,Alastair Paterson,"Melbourne, Australia"
1362,937153,Unni,"Melbourne, Victoria, Australia"
590,937577,John McKim,"Melbourne VIC, Australia"
6,3088390,alexycyap,"Melbourne, Australia"
61,3089250,Christian Schulze,"Melbourne, Australia"
25,8942566,Nathan,"Melbourne, Victoria, Australia"
1,10789585,Escorts Melbourne Now,"Melbourne VIC, Australia"
138,6952886,user6952886,"Melbourne, Victoria, Australia"
213,917585,Diptesh,"Melbourne VIC, Australia"
19,917901,Humphrey,"Melbourne, Australia"
87,922611,Aneesh,"Melbourne, Australia"
102,923680,Kiki Chandra,"Melbourne, Australia"
168,924439,Navin,"Melbourne, Australia"
1,10798953,Madhu,"Melbourne VIC, Australia"
1,8935978,lianyou wei,"Melbourne VIC, Australia"
1,8936121,Li Cheng,"Melbourne, Victoria, Australia"
1,8936187,Lorne Luo,"Melbourne VIC, Australia"
1,8936339,Tristan Matthias,"Melbourne VIC, Australia"
5,8936471,Ross F,"Melbourne, Victoria, Australia"
1,10799295,Fabio Yang,"Melbourne VIC, Australia"
1,927161,ajfisher,"Melbourne, Australia"
648,3085042,Frank Liu,"Melbourne, Australia"
48,3085190,Garden Gnome,"Melbourne, Victoria, Australia"
1,7005631,Vijaya Kapadam,"Melbourne VIC, Australia"
21,5214239,Tanmay Bordekar,"Melbourne, Australia"
1,8942230,Abdullah Bin Ali,"Melbourne, Victoria, Australia"
1,7007357,Benson Lim,"Melbourne, Victoria, Australia"
1,7007410,Talbet,"Melbourne, Victoria, Australia"
11,7007835,Zhenyu Hu,"Melbourne VIC, Australia"
1,3090850,Cam,"Melbourne, Australia"
1,7010870,Lucas WEI,"Melbourne VIC, Australia"
1,7012388,Vivek Khandre,"Melbourne, Victoria, Australia"
16,943788,khay,"Melbourne, Australia"
167,944309,Binyomin,Melbourne
30,944413,Alan Isherwood,"Melbourne, Australia"
843,944822,Merlin Mason,Leeds/Norwich/London/Melbourne
291,948537,shorewalker,"Melbourne, Australia"
1,7018074,Simon Zhao,"Melbourne, Victoria, Australia"
1,10814436,Jack Rong,Melbourne 維多利亞省澳大利亚
1,5227058,t_redactyl,"Melbourne, Australia"
3,5230657,Piyal Shuvro,"Melbourne VIC, Australia"
1,8954785,Y0urmUm,"Melbourne, Vitória, Austrália"
97,7022445,monkSinha,"Melbourne VIC, Australia"
13,5237324,Joshua Souter,"Melbourne, Australia"
2857,966798,Matt,"Melbourne VIC, Australia"
1,10822313,Jack Beale,"Melbourne VIC, Australia"
1,10822331,Wayne Meng,"Melbourne VIC, Australia"
1,7028271,eikaas,"Melbourne, Victoria, Australia"
1,8962016,Richard Wells,"Melbourne, FL, United States"
26,3109329,Zaman,"Melbourne, Victoria, Australia"
43,5241556,SKV,"Melbourne, Victoria, Australia"
3,5243750,sscryp,"Melbourne, Victoria, Australia"
1,8964487,Kai Chen,"Melbourne, Victoria, Australia"
1,8965044,Bigi Varghese Philip,"Melbourne VIC, Australia"
21,5246037,Andrew Selby,"Melbourne VIC, Australia"
6,988755,Sasanka Athauda,"Melbourne VIC, Australia"
96,988757,glennb,"Melbourne, Australia"
931,988864,MARKAND Bhatt,"Melbourne, Victoria, Australia"
21,5251850,Meztec,"Melbourne, Australia"
1,5251951,greybot,"Melbourne, Victoria, Australia"
307507,992484,MadProgrammer,"Melbourne, Australia"
722,992495,RuSs,Melbourne
434,992767,Nigel Sheridan-Smith,"Melbourne, Australia"
71,992779,NibyNool,"Melbourne, Australia"
154,993268,Antix,"Melbourne, Australia"
18,3122854,Khairi,"Melbourne, Australia"
1,7041147,coogan,"Melbourne, Victoria, Australia"
1,8979817,Xiuh S,Melbourne
1,5258304,Belinda,"Melbourne VIC, Australia"
6,1000364,LegCow,Melbourne
413,1000450,Lionel,"Melbourne, Australia"
131,1000749,onlykalu,"Melbourne, Australia"
1,10841126,Bator Horvath,"Melbourne VIC, Australia"
1,7044850,Scott Thomsen,"Melbourne, Victoria, Australia"
11,7045055,Michael Robinson,"Melbourne, Victoria, Australia"
46,7045060,johnt,"Melbourne, Victoria, Australia"
36,3126718,Russell Jarvis,"Melbourne, Victoria, Australia"
1,5262286,Sergio Dutra,"Melbourne VIC, Australia"
1,5262495,N4Design,"Melbourne, Victoria, Australia"
1,5262797,Aram,"Melbourne VIC, Australia"
1,10845491,John Pouliezos,"Melbourne VIC, Australia"
196,5264127,Jarrad,"Melbourne VIC, Australia"
283,1009193,jbear,"Melbourne, Australia"
1,1009290,Eric,"Melbourne, Australia"
1007,1009387,Thomas Foster,"Melbourne VIC, Australia"
69,1010127,Lawrence,"Melbourne, Australia"
131,8865624,Azmy,"Melbourne, Victoria, Australia"
1,8865680,Chelsea,"Melbourne, Victoria, Australia"
1,8865953,liz_emm,"Melbourne, Victoria, Australia"
1,820422,ninjaJay,"Melbourne, Australia"
655,821045,Look Left,"Melbourne, Australia"
1,8871935,SALONI AGARWAL,"Melbourne, Victoria, Australia"
1665,3021489,Aviro,"Melbourne, Australia"
368,830986,Nadeeja Bomiriya,"Melbourne, Australia"
49,10741902,coder,"Melbourne VIC, Australia"
1,10746932,Pika,"Melbourne VIC, Australia"
1,10747275,Angelo Rivera,"Melbourne VIC, Australia"
8,10747348,Gong Ye,"Melbourne VIC, Australia"
1,10747510,kamaljeet sohal,"Melbourne VIC, Australia"
1,3027178,iMoayad,"Melbourne VIC, Australia"
1,10752589,Raghu,"Melbourne VIC, Australia"
198,5146354,Chris Evans,"Melbourne, Victoria, Australia"
6,3034665,yowaraj,"Melbourne, Victoria, Australia"
1,8889125,Giang Nguyen,"Melbourne, Victoria, Australia"
38,10762393,Chester,"Melbourne VIC, Australia"
18,10762433,Luthor,"Melbourne VIC, Australia"
495,864620,Vincent,"Melbourne, Australia"
8561,864651,nmott,"Melbourne, Australia"
1,864704,Daniel Gibson,"Melbourne, Australia"
287,865156,SP Singh,"Melbourne VIC, Australia"
3,866623,Glenn Byatt,"Melbourne, Australia"
376,866656,Ben Incani,Melbourne
1,8901416,Adonai_Bekure,"150 W University Blvd, Melbourne, FL, United States"
1,10773113,AnGus Liu,"Melbourne VIC, Australia"
3,8906994,linuxgeek,"Melbourne, FL, United States"
27,5172669,Andy Pham,"Melbourne, Australia"
101,5172788,Brenton,"Melbourne, Australia"
1772,5172890,kenberkeley,"Melbourne VIC, Australia"
1,6935121,radikaly,"Melbourne, Victoria, Australia"
17,891666,ajnet,"Melbourne, Australia"
38,3060334,KevinC,MElbourne
1,10778436,Warren Slater,"Melbourne VIC, Australia"
3,10783303,Tony O,"Melbourne VIC, Australia"
1,10783804,Yifan Hu,Melbourne 維多利亞省澳大利亚
1,906868,KellAndyMac,"Melbourne, Australia"
1,8939659,trustyoursoul,"Melbourne, Victoria, Australia"
1026,3086057,bgossit,"Melbourne, Australia"
1,5217874,mlamb,"Melbourne, Victoria, Australia"
619,940510,Bishal,"Melbourne VIC, Australia"
1137,941548,Malcolm McCaffery,"Melbourne, Australia"
563,941896,christoshrousis,"Melbourne, Australia"
28,942126,mark,"Melbourne, Australia"
1,8945073,taxezi,"Melbourne, Victoria, Australia"
1,8945291,Abdallah Fawzy,"Melbourne, Victoria, Australia"
1,3097706,user3097706,"Melbourne, Australia"
1588,5225594,Thai Duong Tran,"Melbourne VIC, Australia"
3,10813481,Oneiricer,Melbourne
1,10813889,Calvin Cheung,"Melbourne VIC, Australia"
6,10817811,Micharro,Melbourne
178,5232101,Venura Athukorala,"Melbourne VIC, Australia"
1,8955417,pcordeiro.br,"Melbourne, Victoria, Australia"
1,8955789,Sergey Markov,"Melbourne, Victoria, Australia"
6,958366,Brendan,"Melbourne, Australia"
379,959245,Romesh D. Niriella,"Melbourne, Victoria, Australia"
3735,960201,Francis Kim,"Melbourne, Australia"
8,960212,GoldiDot,"Melbourne, Australia"
157,960218,LifeOnCodes,"Melbourne, Australia"
1,960366,hywel,"Melbourne, Australia"
1503,960501,prashant,"Melbourne, Australia"
1,10822728,Aseem Thakar,"Melbourne VIC, Australia"
1,7026182,boxmann,"Melbourne VIC, Australia"
376,7026814,Quan Tran,"Melbourne, Victoria, Australia"
101,977608,adam f,Central Victoria Australia (between Melbourne and Bendigo)
1,3117269,lukemesiti,"Melbourne, Victoria, Australia"
1,8971020,queena huang,"Melbourne, Victoria, Australia"
523,987533,Anton K,"Melbourne VIC, Australia"
11,998310,Pernille,"Melbourne, Australia"
26,3127987,Ivan,"Melbourne, Australia"
1,3128125,k3t3v,"Melbourne, Australia"
1,8994367,Imran Hussain,"Melbourne, Victoria, Australia"
6,8994520,Joe DW,"Melbourne, Victoria, Australia"
1,10848408,sasithorn hannarong,"Melbourne, FL, USA"
6,5268848,Zehua Lin,"Melbourne, Victoria, Australia"
11,3131343,LanauzeDesigns.com,Melbourne
1,7050603,Paul Shipley,"Port Melbourne, Victoria, Australia"
338,838163,Daniel,"Melbourne VIC, Australia"
104,838679,tempestSA,"Melbourne, Australia"
1,839110,MerryK,"Melbourne, Australia"
181,840091,Azure,"Melbourne, Australia"
1,10752533,James O'Reilly,"Melbourne VIC, Australia"
71,5150682,rws,Melbourne
1,5150946,kreitals,"Melbourne, Australia"
1,8891713,Fletcher Coard,"Melbourne, FL, United States"
1,8891891,Neil Blenkiron,"Melbourne, Australia"
1,10759876,shaadicapture,"Melbourne Victoria, Australia"
438,859911,Joshua Hutchison,"Melbourne, Australia"
882,860028,GAJJE82,"Melbourne, Australia"
1,860895,markbate,"Melbourne, Australia"
21,871422,waferbaby,"Melbourne VIC, Australia"
61,5162899,kid nicarus,Melbourne
1,8898158,Yunran Li,"Melbourne, Victoria, Australia"
11,5163300,baronvonvaderham,"Melbourne, FL, United States"
5434,878602,Devgeeks,"Melbourne, Australia"
2680,879826,hzxu,"Melbourne, Australia"
478,879944,Dubbo,Melbourne
36,6932409,hsbzzhz,"Melbourne, Victoria, Australia"
18,5176666,Ashley Rowland,"Melbourne, Australia"
2771,3057843,Mahattam,"Melbourne VIC, Australia"
73,5182618,indi mars,"Melbourne, Australia"
28,901451,ImKevinJones,"Melbourne, Victoria, Australia"
51,901643,michaelt,"Melbourne, Australia"
49,5189714,TimmyGee,"Melbourne, Victoria, Australia"
1,8926414,Matt Perrott,"Melbourne, Victoria, Australia"
41,5196898,Licheng Nie,"Melbourne, Australia"
3,6951851,Umer Jamal,"Melbourne, Victoria, Australia"
16,910773,alonfai,"Melbourne, Victoria, Australia"
11,911403,Ronnie,"Melbourne, Victoria, Australia"
1,3078737,damien102,"Melbourne, Australia"
1,8932059,Xiamuqing621,"Melbourne, Victoria, Australia"
1,8932100,doorsmelbourne,"Melbourne, Dandenong, Victoria, 3175, Australia"
2462,920798,Adrian,"Melbourne, Australia"
305,921319,flooose,"Melbourne, FL, USA"
76,921812,albcorp,"Melbourne, Australia"
16,930813,Sam Gungormez,"Melbourne, Australia"
1,8938238,Alex Mills,"Melbourne VIC, Australia"
1,7004945,Filip Zalio,"Melbourne, Victoria, Australia"
16,7005009,Sanny Veloo,"Melbourne, Victoria, Australia"
1,8943275,MostlyUnemployed,"Melbourne, Victoria, Australia"
1,8943799,Mark Micallef,"Melbourne, Victoria, Australia"
11,938211,james.p,"Melbourne VIC, Australia"
1,8948303,Jason He,Melbourne
1,8948559,VadimS,"Melbourne, Victoria, Australia"
1242,945711,Fried Rice,"Melbourne, Australia"
552,945856,deadbeef404,"Melbourne, Aus"
62,948122,TrickiDicki,"Melbourne, Victoria, Australia"
558,955882,Karlo Medallo,"Melbourne VIC, Australia"
1,956032,Yongmin,"Melbourne, Australia"
46,5229934,FiveYellowMice,"Melbourne, Australia"
1,7025418,Jeewan ,"Melbourne, Victoria, Australia"
1,3105860,Jarion,"Melbourne, Victoria, Australia"
6,3106532,Prabhdeep Singh,"Melbourne, Australia"
1,975814,Alford,"Melbourne, Australia"
444,976262,Camus,Melbourne Australia
18,5249733,self-learner,"Melbourne, Victoria, Australia"
1,5250255,Shehzad,"Melbourne, Australia"
14,5250382,anurag,"Melbourne, Australia"
1,5250393,playitagain,"Melbourne, Australia"
202,3116573,A_toaster,"Melbourne, Victoria, Australia"
11,10832024,Peng Shen,"Melbourne VIC, Australia"
1,10832108,anonimito,"Melbourne VIC, Australia"
104,985214,Vlad,"Melbourne, Victoria, Australia"
994,985817,Mario Lopez,"Melbourne, Australia"
26,8977047,Brad Barnett,Melbourne
1,8977528,Francisco Hernández,"Melbourne Victoria, Australia"
1,994507,Eliminatrix,"Melbourne, Australia"
103,994745,MattyD,"Melbourne, Australia"
75,994781,Jim Gaylard,"Melbourne, Australia"
121,994819,Bruce,"Melbourne, Australia"
54,10842634,LovelyBanter,"Melbourne VIC, Australia"
1,8985379,James,"Melbourne, Victoria, Australia"
1,8985835,user27,"Melbourne, Victoria, Australia / Surabaya, Jawa Timur, Indonesia"
1,8994112,Sreeja Chakrapani,"Melbourne, Victoria, Australia"
1,10847800,tuxedo,"Melbourne VIC, Australia"
1,7053609,Vijay Kerala Varma,"Melbourne, Victoria, Australia"
1,790730,James P,"Melbourne, Australia"
15,5110704,Bill Zhou,"Melbourne, Australia"
30,5118276,Courtenay L,"Melbourne, Australia"
1,8858769,Alex Gate,"Melbourne, Victoria, Australia"
20,3008787,dreadrocky,"Melbourne, FL"
1,6897254,Pratik Bhaliya,"Melbourne, Victoria, Australia"
387,3017645,Anand,"Melbourne, Australia"
167,826008,AliReza19330,"Melbourne, Victoria, Australia"
355,826112,Andrew H,"Melbourne, Australia"
1,826452,PhilW,"Melbourne, Australia"
2412,826820,twe4ked,"Melbourne, Australia"
26,5131888,Mo A,"Melbourne VIC, Australia"
1,3024015,mhndrcksn,"Melbourne, Australia"
162,5147886,pdbentley,"Melbourne, Victoria, Australia"
1,5154463,Kira,Melbourne
11,6925202,Chris Hocking,"Melbourne, Victoria, Australia"
1,10768582,Alicia Chang,"Melbourne VIC, Australia"
1,10768917,Safira,"Melbourne VIC, Australia"
538,6929816,RK_Aus,"Melbourne, Victoria, Australia"
144,3051620,jhashane,"Melbourne VIC, Australia"
1,3051690,TECHISH,"Melbourne, Australia"
1,10773836,donjuugo,"Melbourne VIC, Australia"
1,10773950,Hanjin You,"Melbourne VIC, Australia"
1,10773982,Huailin Chen,"Melbourne VIC, Australia"
8,882733,Bryan Hickey,"Melbourne, Australia"
1,884004,Paul Leopardi,"Melbourne, Victoria, Australia"
1,10778833,JohnnyDevCraft,"Melbourne, FL, USA"
62,5180320,Ankur Arora,"Melbourne, Australia"
1581,6939988,marcusturewicz,"Melbourne VIC, Australia"
1,6940629,Leon Vincii,"Melbourne VIC, Australia"
1,10779043,Edward Lee Chen,"Melbourne VIC, Australia"
31,3065779,LTeacher,"Melbourne VIC, Australia"
1,8919222,gitbong,"Melbourne, Victoria, Australia"
18,8919615,Tim Hamilton,"Melbourne, Victoria, Australia"
106,900263,Preston Software,"Melbourne VIC, Australia"
437,900991,Nick Benedict,"Melbourne Beach, FL, USA"
1,5196196,Jason Hargenrader,"Melbourne, Australia"
1,5196327,jmoore,"Melbourne, Australia"
1182,908749,nsuinteger,"Melbourne, Victoria, Australia"
11,3072654,JakeTClarke,"Melbourne, Australia"
1,8931591,James Nelson,"Melbourne, Victoria, Australia"
1,8931632,Loida Delgado-Perez,"Melbourne, Victoria, Australia"
1,7003837,Hugo Byrne,"Melbourne, Victoria, Australia"
1,8936884,CSColley,"Melbourne, Victoria, Australia"
17,10800075,Benjamin Zarb,"Melbourne VIC, Australia"
1,10800215,Victor Auw,"Melbourne VIC, Australia"
1,938680,Freaky-namuH,"Melbourne, Australia"
331,3089573,Amit.S,"Melbourne, Victoria, Australia"
1,8949138,richardkw,"Melbourne, Victoria, Australia"
1,8949248,Kristina Sara Johnson,"Melbourne, Victoria, Australia"
3,8949466,Karis,"Melbourne, Victoria, Australia"
1,8952417,Benjamin Tran,"Melbourne, Victoria, Australia"
1,953681,James Fysh,"Melbourne, Victoria, Australia"
43,953785,Venus,"Melbourne, Australia"
25,953844,Hazem Salem,"Melbourne VIC, Australia"
316,953900,vly,"Melbourne, Australia"
6,954402,Ravi Itha,Melbourne
61,5229417,Saltharion,"Melbourne, Australia"
1,5229522,XBM_Er,Melbourne
1,5229706,Kye,"Melbourne VIC, Australia"
691,964437,Damir Kotoric,"Melbourne VIC, Australia"
14,7028560,H.Dai,"Melbourne, Victoria, Australia"
1,7029211,Elias Lopez,"Melbourne VIC, Australia"
13,972245,Stephen,"Melbourne, Australia"
531,972433,micap,"Melbourne, Australia"
428,974295,Hariram Nandagopal,"Melbourne VIC, Australia"
105,974321,Graeme,"Melbourne, Australia"
1,8962888,Raji Bedi,"Melbourne, Victoria, Australia"
42,3109411,Nay,"Melbourne, Australia"
5310,3109860,Bamsworld,"Melbourne, Australia"
1,8968388,Manoj,"Melbourne, Victoria, Australia"
40,983279,soulpow3r,"Melbourne, Australia"
1552,983436,Code Hungry,"Melbourne VIC, Australia"
1577,991306,Sal,"Melbourne, Victoria, Australia"
339,1002616,Sumedh,"Melbourne, Victoria, Australia"
1,10845904,Coder,"Melbourne VIC, Australia"
31,10846532,Brett Maiwald,"Melbourne Beach, FL, USA"
1,5271443,Inder,"Melbourne VIC, Australia"
3,5271645,B. Noe,Melbourne Australia
1,8942706,AnnaFOrteu,"Melbourne, Victoria, Australia"
1,7011476,Shao,"Melbourne, Victoria, Australia"
1,7011732,jimako,"Melbourne, Victoria, Australia"
1,10808529,Shafiq,"Melbourne VIC, Australia"
1,10809032,has1887,Melbourne
1,10810201,SDidge,"Melbourne VIC, Australia"
1,5221857,bigmouthsmithers,"Melbourne, Victoria, Australia"
183,5221976,Eric,"Melbourne, Victoria, Australia"
1,7016587,Subash Thapa,"Melbourne, Victoria, Australia"
20,8949575,Campbell Brobbel,"Melbourne, Victoria, Australia"
31,8950116,santa-123,"Melbourne VIC, Australia"
4,10815671,Arif Rahman,"Melbourne VIC, Australia"
1,3099424,tanil cagdas,"Melbourne, Victoria, Australia"
1,5231458,preston Zhang,"Melbourne, Victoria, Australia"
1,7021387,Julzerator,"Melbourne, Victoria, Australia"
7,7022272,Laurens,"Melbourne, Victoria, Australia"
1,5233379,LaughingBubba,"Melbourne, Victoria, Australia"
782,3102965,Siddharth Sachdeva,"Melbourne, Victoria, Australia"
897,3102993,ZeroDarkThirty,"Melbourne, Victoria, Australia"
1,7024102,Parneet Batra,"Melbourne VIC, Australia"
1,10823389,Luke,Melbourne
1,10823562,frank paek,Melbourne 빅토리아 주 오스트레일리아
1,3107985,Jack Phan,"Melbourne, Australia"
1,8965331,Candogan Tuzcu,"Melbourne Victoria, Avustralya"
1,8965666,Mr. Tib,"Melbourne, Victoria, Australia"
3,8965816,nikrox,"Melbourne, Victoria, Australia"
32,8966048,JamesLovesPython,"Melbourne, Victoria, Australia"
206,3113323,Wonder Boy,"Melbourne, Australia"
28,3113680,DaleW,"Melbourne, Australia"
391,979028,Shahnawaz,"Melbourne, Victoria, Australia"
9,979520,shawn,"Melbourne, Victoria, Australia"
1,979569,Wagaweze,"Melbourne, Australia"
12,983893,zambacan,Melbourne
1,10830477,Abhishek,"Melbourne VIC, Australia"
1,10831062,saialapati95,"Melbourne VIC, Australia"
1,7034256,gScott,"Melbourne, Victoria, Australia"
8,8969018,uanand,"Melbourne, Victoria, Australia"
1,10834534,Jake Finn,"Melbourne VIC, Australia"
198,7038956,crx_au,"Melbourne, Victoria, Australia"
1,8974360,ChrisAlphabet,"Melbourne, Victoria, Australia"
1,8974589,Jonno Will,Melbourne
1,8975325,Thalia,"Melbourne, Victoria, Australia"
1,8975378,Kimi Karakoti,"Melbourne, Victoria, Australia"
11,7041961,IAN,"Melbourne, Victoria, Australia"
1,8982885,JJRimmer,"Melbourne, Victoria, Australia"
1,8983115,Marc Niemes,Melbourne
1,8983136,Rafael Mello,"Melbourne, Victoria, Australia"
21,8983376,Seamus Kearney,"Melbourne, Victoria, Australia"
1,8984244,Bennett Anderson,"Melbourne, Victoria, Australia"
10,8984565,jason,"Melbourne, Victoria, Australia"
353,1006272,berniefitz,"Melbourne, Australia"
6323,1006422,Jerome Anthony,"Melbourne, Australia"
31,1006471,markyk,"Melbourne, Australia"
1,1008077,Nathan,"Melbourne, Australia"
1611,1008568,Matthew Fellows,"Melbourne, Australia"
1,8992678,Ashutosh KS,"Melbourne VIC, Australia"
1,5266440,Nathan,Melbourne
1,5266500,Eddie,"Melbourne, Australia"
190,1011753,Joshua Curci,"Melbourne, Australia"
994,1012015,Ro Hit,"Melbourne, Australia"
651,1015883,StigM,"Melbourne, Australia"
536,1016115,AlexRebula,"Melbourne, Australia"
10,1019454,Gaga,"Melbourne, Victoria, Australia"
939,1020804,Bryan Arbelo - MaG3Stican,"Melbourne, Victoria, Australia"
1,10852311,Yangfan Xu,"Melbourne VIC, Australia"
1,10855649,Greg Caine,"Melbourne VIC, Australia"
1,10855869,Ranjit Rajini,"Melbourne VIC, Australia"
1424,3137931,Mist,"Melbourne, Australia"
1,3138117,RobG,"Melbourne, Australia"
1,9004267,Taro,"Melbourne, Victoria, Australia"
423,1025776,Vlas Voloshin,"Melbourne VIC, Australia"
1,10857095,Phillip Cochineas,"Melbourne VIC, Australia"
3,9006752,AFLtipster,"Melbourne, Victoria, Australia"
100,1028902,noddy,Melbourne
1,1029520,aidanmcintosh,"Melbourne, Victoria, Australia"
33,1029712,Braydz86,"Melbourne, Australia"
14,1030144,dubyzu,"Melbourne, Victoria, Australia"
331,1036538,TomLingham,"Melbourne, Victoria, Australia"
86,1010166,AKV,"Melbourne, Australia"
103,1010177,DCWoods,"Melbourne, Australia"
349,1010337,ActiveDan,"Melbourne, Australia"
6,3128581,Brett G,"Melbourne, Australia"
334,3128875,Lionel Tay,"Melbourne VIC, Australia"
36,3129039,Toufiq,"Melbourne, Victoria, Australia"
1,5266903,Graham,"Melbourne, Australia"
497,1013525,paligap,"Melbourne, Victoria, Australia"
628,1013781,Chris Adams,"Melbourne, Australia"
188,1013902,dmuir,"Melbourne, Australia"
1599,1014040,sanjayav,"Melbourne, Victoria, Australia"
62,5270929,CAnder,"Melbourne, Australia"
308,5270944,Ash Hall,"Melbourne, Victoria, Australia"
113,1018119,Paul Filmer,"Melbourne, Australia"
189,1018358,src,"Melbourne VIC, Australia"
33,1019318,asimsuvedi,"Melbourne, Australia"
1,10850694,Zak ,Melbourne
76,3136685,M. Pathan,"Melbourne, Victoria, Australia"
1,7055759,M.Yan,"Melbourne, Victoria, Australia"
197,1023680,Simon Taylor,"Melbourne, Australia"
